application_id,age,city_tier,employment_type,employment_years,annual_income_inr,residence_type,bureau_score,credit_inquiries_6m,overdue_accounts,existing_emi_inr,bank_balance_inr,loan_type,loan_amount_inr,loan_term_months,interest_rate,proposed_emi_inr,foir,loan_to_income_ratio,default
INR0006153,47,Bengaluru,Professional,10.9,442332.0,Rented,708.0,0,0,5326.0,312945.0,Consumer Durable,156514.0,36,12.89,5266.0,0.2873,0.3538,0
INR0086158,43,Delhi NCR,Professional,15.6,836396.0,Family Owned,640.0,1,1,9535.0,150625.0,Consumer Durable,670125.0,36,16.96,23878.0,0.4794,0.8012,0
INR0024517,46,Ahmedabad,Salaried,13.4,632593.0,Rented,580.0,4,2,10908.0,20968.0,Personal Loan,269256.0,18,22.3,17737.0,0.5434,0.4256,0
INR0085530,23,Delhi NCR,Self Employed,0.0,880680.0,Owned,701.0,0,0,11508.0,69907.0,Home Improvement,245100.0,36,11.93,8133.0,0.2676,0.2783,0
INR0028102,55,Tier 2/3,Contract,25.3,133569.0,Owned,699.0,0,0,3700.0,8294.0,Personal Loan,39864.0,12,9.74,3500.0,0.6468,0.2985,0
INR0010151,51,Tier 2/3,Professional,21.7,765752.0,Rented,668.0,0,0,6457.0,144340.0,Personal Loan,72622.0,60,15.59,1750.0,0.1286,0.0948,0
INR0024180,41,Tier 2/3,Salaried,21.3,544163.0,Owned,732.0,0,0,3535.0,66915.0,Consumer Durable,297747.0,18,10.28,17921.0,0.4731,0.5472,0
INR0063525,54,Mumbai,Professional,27.2,465665.0,Rented,750.0,0,0,5052.0,45119.0,Home Improvement,451753.0,24,11.05,21066.0,0.6731,0.9701,0
INR0071528,43,Hyderabad,Salaried,2.8,1064638.0,Family Owned,,0,0,44104.0,122583.0,Consumer Durable,217851.0,36,12.33,7270.0,0.5791,0.2046,0
INR0079073,25,Delhi NCR,Salaried,0.0,486169.0,Rented,500.0,1,3,11758.0,17890.0,Home Improvement,108662.0,36,24.24,4277.0,0.3958,0.2235,1
INR0093772,47,Pune,Salaried,24.9,832889.0,Rented,700.0,0,0,10399.0,89357.0,Home Improvement,536199.0,60,11.62,11825.0,0.3202,0.6438,0
INR0048762,61,Chennai,Self Employed,32.8,471462.0,Rented,761.0,0,0,1714.0,42412.0,Business Loan,817735.0,48,8.54,20172.0,0.5571,1.7345,0
INR0020606,39,Chennai,Salaried,10.0,529238.0,Owned,667.0,2,0,1380.0,63315.0,Consumer Durable,91427.0,12,18.05,8384.0,0.2214,0.1728,0
INR0016355,36,Chennai,Salaried,8.5,502222.0,Rented,653.0,0,0,6148.0,57971.0,Personal Loan,296151.0,24,15.38,14413.0,0.4913,0.5897,0
INR0078861,49,Chennai,Salaried,16.2,554196.0,Family Owned,714.0,0,0,1081.0,18165.0,Personal Loan,65202.0,12,11.94,5791.0,0.1488,0.1177,0
INR0087622,40,Hyderabad,Professional,7.9,627964.0,Owned,586.0,5,0,6166.0,18026.0,Personal Loan,171606.0,36,20.4,6412.0,0.2404,0.2733,0
