application_id,age,city_tier,employment_type,employment_years,annual_income_inr,residence_type,bureau_score,credit_inquiries_6m,overdue_accounts,existing_emi_inr,bank_balance_inr,loan_type,loan_amount_inr,loan_term_months,interest_rate,proposed_emi_inr,foir,loan_to_income_ratio,default
INR0000000,56,Kolkata,Contract,24.1,611868.0,Rented,651.0,1,0,3433.0,55588.0,Two Wheeler,143772.0,36,14.13,4923.0,0.1639,0.235,0
INR0000001,42,Chennai,Contract,8.4,927326.0,Rented,644.0,0,0,15393.0,137016.0,Two Wheeler,601744.0,60,13.85,13953.0,0.3797,0.6489,0
INR0000002,27,Tier 2/3,Salaried,0.3,784302.0,Rented,598.0,1,1,19329.0,54593.0,Home Improvement,134927.0,36,18.62,4920.0,0.371,0.172,0
INR0000003,39,Ahmedabad,Salaried,21.9,1176674.0,Rented,737.0,1,0,1743.0,100097.0,Consumer Durable,304116.0,18,11.72,18506.0,0.2065,0.2585,0
INR0000004,64,Mumbai,Self Employed,40.0,911420.0,Family Owned,729.0,1,0,8516.0,48794.0,Home Improvement,732900.0,48,11.11,18983.0,0.3621,0.8041,0
INR0000005,55,Tier 2/3,Self Employed,28.6,487888.0,Family Owned,796.0,0,0,826.0,49949.0,Two Wheeler,81316.0,12,8.46,7091.0,0.1947,0.1667,0
INR0000006,24,Kolkata,Professional,0.0,438337.0,Family Owned,607.0,3,3,18041.0,34387.0,Personal Loan,70226.0,18,20.49,4565.0,0.6189,0.1602,1
INR0000007,54,Tier 2/3,Professional,22.3,1081257.0,Rented,695.0,1,1,13695.0,112231.0,Consumer Durable,497869.0,36,15.73,17437.0,0.3455,0.4605,0
INR0000008,58,Mumbai,Salaried,25.0,1503635.0,Rented,708.0,0,0,32868.0,65453.0,Two Wheeler,80749.0,24,14.39,3892.0,0.2934,0.0537,0
INR0000009,54,Chennai,Salaried,30.4,486471.0,Rented,732.0,0,0,23376.0,40937.0,Consumer Durable,166256.0,36,12.86,5590.0,0.7145,0.3418,0
INR0000010,27,Bengaluru,Salaried,1.1,376781.0,Rented,617.0,0,0,2868.0,85402.0,Consumer Durable,168904.0,36,15.0,5855.0,0.2778,0.4483,0
INR0000011,60,Tier 2/3,Professional,20.4,235425.0,Owned,610.0,0,2,10081.0,104291.0,Personal Loan,96592.0,24,19.65,4899.0,0.7636,0.4103,0
INR0000012,47,Pune,Salaried,22.2,973278.0,Owned,723.0,1,0,9760.0,33960.0,Consumer Durable,55658.0,48,14.98,1548.0,0.1394,0.0572,0
INR0000013,53,Tier 2/3,Salaried,28.8,691469.0,Owned,753.0,0,0,22239.0,122563.0,Home Improvement,129705.0,24,12.38,6128.0,0.4923,0.1876,0
INR0000014,50,Chennai,Salaried,22.0,376984.0,Owned,684.0,0,0,433.0,44688.0,Consumer Durable,168293.0,36,14.12,5762.0,0.1972,0.4464,0
INR0000015,44,Delhi NCR,Salaried,19.2,1630714.0,Owned,642.0,1,1,29823.0,465310.0,Two Wheeler,143562.0,18,16.13,9033.0,0.2859,0.088,0
INR0000016,27,Hyderabad,Salaried,0.0,120732.0,Owned,620.0,1,2,8687.0,19949.0,Home Improvement,59251.0,36,20.92,2230.0,1.085,0.4908,0
INR0000017,50,Mumbai,Professional,23.4,1104876.0,Family Owned,652.0,3,1,64660.0,326260.0,Two Wheeler,153272.0,18,18.13,9789.0,0.8086,0.1387,0
INR0000018,23,Tier 2/3,Self Employed,0.0,824065.0,Owned,667.0,0,1,14982.0,171832.0,Personal Loan,909221.0,24,15.76,44414.0,0.8649,1.1033,0
INR0000019,63,Pune,Salaried,31.4,223543.0,Rented,727.0,0,0,3251.0,8487.0,Personal Loan,99811.0,36,9.57,3201.0,0.3463,0.4465,0
INR0000020,50,Kolkata,Salaried,14.4,266894.0,Family Owned,622.0,1,0,6300.0,9331.0,Personal Loan,32015.0,18,15.88,2011.0,0.3736,0.12,0
INR0000021,48,Bengaluru,Salaried,17.0,724201.0,Rented,762.0,0,0,18214.0,274350.0,Personal Loan,208953.0,24,10.77,9717.0,0.4628,0.2885,0
INR0000022,55,Tier 2/3,Self Employed,24.8,254442.0,Owned,643.0,1,0,4712.0,9890.0,Two Wheeler,20000.0,36,16.97,713.0,0.2558,0.0786,0
INR0000023,34,Tier 2/3,Self Employed,6.0,171411.0,Rented,603.0,2,2,8814.0,33946.0,Personal Loan,129887.0,12,20.1,12038.0,1.25,0.7578,1
INR0000024,45,Kolkata,Salaried,20.6,290910.0,Family Owned,657.0,2,0,4813.0,4006.0,Consumer Durable,61382.0,48,14.23,1685.0,0.268,0.211,0
INR0000025,40,Delhi NCR,Salaried,8.7,1646853.0,Rented,734.0,0,0,50468.0,142318.0,Personal Loan,462494.0,12,9.53,40560.0,0.6633,0.2808,0
INR0000026,63,Chennai,Self Employed,35.1,760740.0,Rented,672.0,0,0,17813.0,30101.0,Consumer Durable,555381.0,36,14.83,19207.0,0.584,0.7301,0
INR0000027,50,Mumbai,Contract,19.5,391477.0,Family Owned,713.0,0,0,5511.0,71405.0,Personal Loan,97452.0,48,13.89,2658.0,0.2504,0.2489,0
INR0000028,40,Delhi NCR,Contract,4.1,995472.0,Owned,,1,0,29769.0,25479.0,Business Loan,126687.0,12,13.15,11324.0,0.4954,0.1273,0
INR0000029,56,Ahmedabad,Salaried,18.4,1024831.0,Owned,651.0,2,0,13548.0,27492.0,Two Wheeler,180398.0,24,15.55,8794.0,0.2616,0.176,0
INR0000030,32,Kolkata,Salaried,3.7,880250.0,Rented,,5,0,13262.0,50573.0,Two Wheeler,195446.0,12,17.22,17846.0,0.4241,0.222,0
INR0000031,51,Tier 2/3,Salaried,21.5,376576.0,Owned,711.0,0,0,10496.0,32505.0,Two Wheeler,27050.0,24,12.38,1278.0,0.3752,0.0718,0
INR0000032,44,Bengaluru,Contract,20.0,301536.0,Family Owned,650.0,0,2,8955.0,61980.0,Two Wheeler,48313.0,36,17.4,1732.0,0.4253,0.1602,1
INR0000033,28,Bengaluru,Salaried,0.0,1039380.0,Owned,671.0,1,1,10368.0,111639.0,Consumer Durable,1115139.0,36,16.21,39320.0,0.5737,1.0729,0
INR0000034,46,Chennai,Professional,16.0,1785454.0,Rented,657.0,1,0,94605.0,645622.0,Personal Loan,472422.0,24,17.05,23370.0,0.7929,0.2646,0
INR0000035,44,Delhi NCR,Salaried,8.9,278113.0,Rented,637.0,1,1,5353.0,13093.0,Consumer Durable,145773.0,60,18.99,3780.0,0.3941,0.5241,0
INR0000036,62,Mumbai,Salaried,31.1,1378659.0,Owned,666.0,0,0,14588.0,288497.0,Personal Loan,998557.0,12,14.69,89981.0,0.9102,0.7243,0
INR0000037,63,Chennai,Salaried,35.6,1747966.0,Owned,670.0,0,0,58122.0,409483.0,Consumer Durable,124161.0,24,13.05,5906.0,0.4396,0.071,0
INR0000038,29,Delhi NCR,Contract,4.2,155319.0,Family Owned,650.0,2,0,3196.0,4863.0,Personal Loan,406410.0,36,15.52,14192.0,1.25,2.6166,0
INR0000039,26,Ahmedabad,Professional,0.0,738069.0,Owned,634.0,1,1,4517.0,68606.0,Two Wheeler,183909.0,36,18.5,6695.0,0.1823,0.2492,0
INR0000040,52,Chennai,Salaried,22.5,375144.0,Family Owned,695.0,0,0,6569.0,16837.0,Personal Loan,73841.0,36,14.45,2540.0,0.2914,0.1968,0
INR0000041,46,Tier 2/3,Salaried,18.7,468439.0,Owned,669.0,0,0,12865.0,77915.0,Home Improvement,189969.0,36,15.68,6648.0,0.4999,0.4055,0
INR0000042,41,Ahmedabad,Salaried,7.1,716905.0,Rented,629.0,5,1,20580.0,89557.0,Personal Loan,344862.0,36,19.8,12781.0,0.5584,0.481,0
INR0000043,55,Bengaluru,Salaried,17.4,775059.0,Rented,769.0,0,0,24333.0,277216.0,Two Wheeler,60243.0,12,10.21,5302.0,0.4588,0.0777,0
INR0000044,31,Tier 2/3,Salaried,12.8,300686.0,Rented,688.0,0,0,9107.0,15549.0,Business Loan,238028.0,60,12.69,5378.0,0.5781,0.7916,0
INR0000045,24,Tier 2/3,Salaried,0.0,328420.0,Owned,570.0,2,3,11415.0,35902.0,Two Wheeler,233296.0,12,22.53,21895.0,1.2171,0.7104,1
INR0000046,41,Bengaluru,Self Employed,10.9,1322212.0,Family Owned,706.0,1,0,75456.0,182209.0,Personal Loan,121966.0,24,14.97,5912.0,0.7385,0.0922,0
INR0000047,45,Bengaluru,Salaried,17.3,248797.0,Family Owned,616.0,0,1,6577.0,46989.0,Home Improvement,30171.0,24,16.59,1486.0,0.3889,0.1213,0
INR0000048,23,Ahmedabad,Contract,0.0,366022.0,Rented,609.0,2,3,19786.0,82762.0,Consumer Durable,94658.0,24,20.62,4847.0,0.8076,0.2586,0
INR0000049,54,Delhi NCR,Salaried,24.6,1334146.0,Owned,718.0,0,0,11812.0,161628.0,Personal Loan,227913.0,24,11.46,10671.0,0.2022,0.1708,0
INR0000050,56,Delhi NCR,Salaried,31.5,844495.0,Owned,696.0,1,0,28130.0,65011.0,Personal Loan,86515.0,48,13.47,2341.0,0.433,0.1024,0
INR0000051,51,Mumbai,Salaried,26.9,251697.0,Rented,727.0,1,0,5487.0,35948.0,Personal Loan,30702.0,12,13.12,2744.0,0.3924,0.122,0
INR0000052,62,Tier 2/3,Self Employed,32.7,536221.0,Rented,669.0,1,0,28844.0,118104.0,Personal Loan,230874.0,60,13.87,5356.0,0.7653,0.4306,0
INR0000053,37,Ahmedabad,Contract,8.3,216222.0,Rented,707.0,0,1,7375.0,13338.0,Personal Loan,63620.0,60,14.4,1493.0,0.4922,0.2942,0
INR0000054,42,Ahmedabad,Professional,5.0,349491.0,Rented,603.0,0,0,13657.0,199324.0,Personal Loan,54164.0,24,17.39,2688.0,0.5612,0.155,0
INR0000055,51,Tier 2/3,Salaried,23.0,970382.0,Rented,731.0,0,0,25477.0,79554.0,Two Wheeler,250448.0,24,12.37,11833.0,0.4614,0.2581,0
INR0000056,44,Chennai,Contract,19.1,508130.0,Family Owned,652.0,0,0,2209.0,43364.0,Personal Loan,226400.0,36,15.99,7958.0,0.2401,0.4456,0
INR0000057,36,Hyderabad,Salaried,15.6,,Family Owned,653.0,0,0,12822.0,,Consumer Durable,97739.0,24,14.81,4730.0,0.4931,0.2288,0
INR0000058,54,Delhi NCR,Salaried,22.2,809281.0,Rented,642.0,2,0,13398.0,100463.0,Consumer Durable,680718.0,60,15.58,16402.0,0.4419,0.8411,0
INR0000059,38,Mumbai,Salaried,15.8,806982.0,Family Owned,636.0,2,0,6703.0,90056.0,Two Wheeler,123817.0,12,18.19,11363.0,0.2686,0.1534,0
INR0000060,61,Ahmedabad,Contract,32.3,618596.0,Family Owned,667.0,1,0,15969.0,31501.0,Personal Loan,112950.0,24,14.52,5451.0,0.4155,0.1826,1
INR0000061,28,Chennai,Contract,0.0,209681.0,Rented,680.0,1,0,10305.0,34350.0,Personal Loan,75404.0,24,14.9,3652.0,0.7988,0.3596,0
INR0000062,47,Hyderabad,Professional,17.9,903456.0,Rented,611.0,0,3,28019.0,45322.0,Personal Loan,532933.0,18,19.65,34426.0,0.8294,0.5899,1
INR0000063,36,Kolkata,Self Employed,0.7,288165.0,Family Owned,548.0,1,1,5418.0,51263.0,Personal Loan,77505.0,36,19.94,2878.0,0.3455,0.269,0
INR0000064,25,Pune,Self Employed,0.0,979934.0,Rented,614.0,0,1,13221.0,60192.0,Personal Loan,274731.0,60,16.1,6696.0,0.2439,0.2804,1
INR0000065,32,Hyderabad,Self Employed,2.9,791598.0,Owned,571.0,2,2,18302.0,18777.0,Two Wheeler,66139.0,18,24.13,4416.0,0.3444,0.0836,1
INR0000066,36,Hyderabad,Salaried,6.5,386613.0,Family Owned,634.0,1,0,10177.0,19847.0,Business Loan,307845.0,36,15.37,10727.0,0.6488,0.7963,1
INR0000067,30,Bengaluru,Salaried,2.0,1587996.0,Rented,557.0,0,3,25280.0,114175.0,Home Improvement,325162.0,60,22.39,9052.0,0.2594,0.2048,1
INR0000068,27,Mumbai,Professional,0.0,993388.0,Rented,608.0,1,0,31947.0,51155.0,Business Loan,652004.0,24,18.0,32550.0,0.7791,0.6563,0
INR0000069,27,Chennai,Salaried,4.4,399062.0,Owned,605.0,1,0,13608.0,45042.0,Personal Loan,399772.0,36,17.65,14382.0,0.8417,1.0018,0
INR0000070,48,Delhi NCR,Salaried,19.5,526096.0,Rented,680.0,2,0,6279.0,141862.0,Two Wheeler,221199.0,36,15.05,7673.0,0.3183,0.4205,0
INR0000071,21,Chennai,Salaried,0.0,578355.0,Owned,624.0,0,1,4654.0,,Consumer Durable,411150.0,24,16.42,20213.0,0.5159,0.7109,0
INR0000072,57,Tier 2/3,Salaried,31.9,,Family Owned,657.0,0,0,12133.0,29491.0,Personal Loan,270461.0,24,13.21,12886.0,0.7621,0.6865,0
INR0000073,47,Delhi NCR,Contract,19.6,709705.0,Family Owned,759.0,1,0,22330.0,73150.0,Personal Loan,187569.0,36,8.33,5907.0,0.4774,0.2643,0
INR0000074,47,Mumbai,Self Employed,18.1,1418314.0,Owned,690.0,0,0,3154.0,67489.0,Two Wheeler,292550.0,36,13.79,9968.0,0.111,0.2063,0
INR0000075,51,Bengaluru,Salaried,13.8,349626.0,Rented,628.0,1,0,6905.0,9154.0,Business Loan,212710.0,24,15.98,10413.0,0.5944,0.6084,0
INR0000076,21,Bengaluru,Self Employed,0.0,576099.0,Rented,603.0,1,0,1770.0,17999.0,Home Improvement,59373.0,36,16.51,2102.0,0.0807,0.1031,0
INR0000077,39,Ahmedabad,Salaried,12.4,682352.0,Rented,807.0,1,0,22692.0,292447.0,Personal Loan,79739.0,60,8.55,1638.0,0.4279,0.1169,0
INR0000078,37,Hyderabad,Salaried,0.6,1191558.0,Family Owned,679.0,0,0,1952.0,62287.0,Personal Loan,1023336.0,12,14.23,91994.0,0.9461,0.8588,0
INR0000079,58,Tier 2/3,Salaried,29.8,946955.0,Family Owned,660.0,0,0,10793.0,215438.0,Personal Loan,119341.0,36,12.84,4012.0,0.1876,0.126,0
INR0000080,40,Ahmedabad,Salaried,9.7,1274154.0,Owned,629.0,0,1,40895.0,219465.0,Consumer Durable,382364.0,12,17.49,34962.0,0.7144,0.3001,0
INR0000081,36,Chennai,Salaried,10.4,422448.0,Rented,700.0,0,0,4574.0,123281.0,Personal Loan,158136.0,18,11.29,9591.0,0.4024,0.3743,0
INR0000082,49,Tier 2/3,Salaried,23.9,388641.0,Owned,667.0,1,0,7630.0,153478.0,Two Wheeler,37615.0,60,14.37,882.0,0.2628,0.0968,0
INR0000083,27,Delhi NCR,Self Employed,2.2,142790.0,Rented,657.0,2,0,451.0,19775.0,Home Improvement,51638.0,24,15.51,2516.0,0.2494,0.3616,0
INR0000084,26,Mumbai,Salaried,0.0,1443395.0,Rented,588.0,2,1,72858.0,112299.0,Consumer Durable,1932034.0,36,20.7,72494.0,1.2084,1.3385,1
INR0000085,57,Mumbai,Salaried,22.0,970045.0,Owned,661.0,2,0,20479.0,102501.0,Consumer Durable,732112.0,24,14.84,35443.0,0.6918,0.7547,0
INR0000086,43,Kolkata,Salaried,4.6,801673.0,Owned,641.0,0,1,18001.0,44383.0,Personal Loan,148753.0,60,17.19,3712.0,0.325,0.1856,0
INR0000087,48,Chennai,Salaried,18.6,438001.0,Family Owned,755.0,0,0,14710.0,43101.0,Personal Loan,930897.0,24,11.51,43608.0,1.25,2.1253,0
INR0000088,30,Delhi NCR,Self Employed,0.0,214124.0,Owned,,1,0,8379.0,11898.0,Two Wheeler,40469.0,24,15.27,1967.0,0.5798,0.189,0
INR0000089,30,Hyderabad,Self Employed,0.0,2205630.0,Owned,593.0,0,1,31171.0,191175.0,Business Loan,1257524.0,36,18.94,46056.0,0.4202,0.5701,0
INR0000090,56,Delhi NCR,Salaried,34.6,1805522.0,Family Owned,802.0,0,0,20678.0,906939.0,Personal Loan,1428191.0,24,8.0,64593.0,0.5667,0.791,0
INR0000091,64,Ahmedabad,Salaried,28.9,845298.0,Family Owned,731.0,1,0,15902.0,16166.0,Two Wheeler,123997.0,12,10.83,10949.0,0.3812,0.1467,0
INR0000092,65,Chennai,Self Employed,33.4,423318.0,Rented,712.0,0,0,14095.0,35686.0,Personal Loan,144845.0,36,13.89,4943.0,0.5397,0.3422,0
INR0000093,56,Bengaluru,Self Employed,22.6,881541.0,Rented,669.0,1,0,12859.0,338003.0,Personal Loan,100792.0,60,16.71,2489.0,0.2089,0.1143,1
INR0000094,37,Bengaluru,Self Employed,21.1,668779.0,Family Owned,625.0,0,0,16826.0,205270.0,Personal Loan,219367.0,12,17.33,20042.0,0.6615,0.328,0
INR0000095,29,Pune,Contract,0.0,553523.0,Rented,593.0,1,1,4765.0,173368.0,Consumer Durable,661433.0,36,18.41,24048.0,0.6246,1.195,1
INR0000096,54,Bengaluru,Self Employed,32.4,448234.0,Owned,692.0,0,0,10482.0,84892.0,Personal Loan,252958.0,24,13.24,12054.0,0.6033,0.5643,0
INR0000097,21,Mumbai,Professional,0.0,520670.0,Rented,528.0,2,0,10910.0,45004.0,Two Wheeler,48140.0,36,20.93,1812.0,0.2932,0.0925,0
INR0000098,36,Mumbai,Self Employed,4.8,430200.0,Family Owned,662.0,0,0,9473.0,44651.0,Personal Loan,64694.0,36,14.02,2212.0,0.3259,0.1504,0
INR0000099,30,Tier 2/3,Self Employed,0.0,368219.0,Rented,537.0,1,2,6275.0,53994.0,Personal Loan,84597.0,24,23.36,4446.0,0.3494,0.2297,0
INR0000100,30,Tier 2/3,Self Employed,0.0,419914.0,Rented,518.0,0,3,16399.0,,Consumer Durable,76528.0,12,21.96,7161.0,0.6733,0.1822,1
